"","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6"
"坂本　勇人",13,22,6,6,2,2,7,36,10,7,3,0,4,12,3,4,1,0,2,21,5,5,5,0,6,28,10,18,5,1,30,86,17,24,4,6,0,11,1,3,2,0,3,17,4,5,2,1,5,12,3,7,0,2
"井端　弘和",5,16,4,8,0,1,3,35,3,7,1,0,2,3,3,4,0,0,3,19,3,7,2,0,3,16,7,2,0,0,11,49,10,14,5,0,1,8,0,1,0,0,2,5,1,2,0,0,3,9,0,3,0,0
"長野　久義",10,24,5,6,3,0,9,28,5,9,0,0,8,6,0,2,0,0,3,12,6,8,2,0,8,30,0,8,2,2,23,83,6,18,5,7,0,11,3,4,2,0,3,15,1,4,3,3,4,17,2,4,2,1
"阿部　慎之助",10,18,7,7,1,1,9,18,8,6,5,2,3,6,0,3,0,1,3,6,6,3,0,1,8,21,9,5,1,2,35,61,13,21,4,5,0,8,2,1,0,1,2,10,3,4,2,1,4,9,7,2,0,0
"村田　修一",10,19,1,5,0,0,11,26,3,3,3,1,0,5,0,4,0,0,1,15,3,6,0,4,5,15,2,5,1,2,23,66,8,25,3,4,5,8,3,3,0,1,2,9,3,2,0,0,5,5,1,1,1,0
"高橋　由伸",5,5,0,1,0,0,6,6,3,3,0,0,4,1,1,1,0,0,3,8,2,1,0,0,7,13,5,8,1,2,8,14,4,7,2,1,2,5,1,4,0,0,3,2,1,0,1,2,0,0,0,1,0,0
"亀井　善行",9,18,6,10,1,1,11,18,4,5,5,0,4,8,1,1,0,1,4,20,3,7,0,1,9,29,1,12,2,1,13,67,11,23,5,2,0,11,0,4,1,0,4,11,2,8,2,0,0,10,3,3,0,0
"小林　誠司",8,8,1,2,2,0,0,6,0,2,1,0,1,2,0,3,0,0,3,5,2,0,0,0,4,13,4,3,0,0,13,38,5,14,3,2,1,4,0,0,0,0,4,5,1,3,0,0,3,4,2,2,0,0
"菅野　智之",2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,7,18,0,1,2,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0
"セペダ",0,4,2,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,2,4,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ポレダ",4,1,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,12,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"橋本　到",7,7,1,0,1,0,9,10,1,4,1,0,1,1,0,1,0,0,1,6,1,1,0,0,3,9,0,2,1,0,9,23,2,5,5,0,4,4,0,1,1,0,0,3,2,0,0,0,0,3,1,0,0,0
"相川　亮二",2,7,1,1,1,1,2,3,1,0,0,0,2,2,0,0,0,0,2,6,0,2,1,0,3,8,2,6,2,1,1,11,2,6,0,1,3,5,1,1,0,0,0,3,2,3,0,0,0,2,0,1,0,1
"片岡　治大",5,22,3,7,2,0,3,22,2,5,1,2,4,8,2,1,2,0,0,13,2,6,0,0,3,30,3,10,0,1,15,73,5,21,1,5,1,7,0,1,0,0,2,18,1,1,3,0,1,18,1,2,1,0
"高木　勇人",2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,1,1,0,8,7,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,2,0,0,0,0
"松本　哲也",2,2,1,1,0,0,1,4,1,0,0,0,1,4,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"金城　龍彦",4,6,0,1,0,0,2,7,1,1,0,1,0,1,0,0,0,0,0,7,0,4,2,0,0,3,0,0,0,0,3,25,2,9,1,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"杉内　俊哉",0,0,0,0,0,0,4,4,0,1,0,0,1,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"大竹　寛",1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"マイコラス",3,2,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,7,1,1,1,0,4,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
"寺内　崇幸",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,2,7,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"中井　大介",0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,2,7,0,1,1,0,1,2,0,0,0,0,0,2,1,0,0,0,2,3,0,0,0,0
"實松　一成",2,0,0,0,0,0,2,4,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,2,2,0,1,0,0,2,8,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"鈴木　尚広",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"田口　麗斗",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
