testdata
     type ncat p1        p2         p3       
QB1   B2  2    1         -1           
QB2   B2  2    1          0           0.3    
QB3   B3  2    1          1           0.2    
QB4   B3  2    .8         1           0.2    
QB5   B2  2    1         -1.3         
QB6   B2  2    1          0.3         0.3    
QB7   B3  2    1          1.3         0.2    
QB8   B3  2    .8         0.7         0.2    
QB11  B2  2    1.2       -1           
QB12  B2  2    1.2        0           0.3    
QB13  B3  2    1.2        1           0.2    
QB14  B3  2    1.0        1           0.2    
QB15  B2  2    .8        -1           
QB16  B2  2    .8         0           0.3    
QB17  B3  2    .8         1           0.2    
QB18  B3  2    .7         1           0.2    
