 name  a   b   c
    1  1.0 -1  0
    2  1.0  0  0
    3  1.0  1  0
    4  1.0 -1  0
    5  1.0  0  0
    6  1.0  1  0
    7  1.3 -1  0
    8  1.3  0  0
    9  1.3  1  0
   10  1.3 -1  0
   11  1.3  0  0
   12  1.3  1  0
   13  0.7 -1  0
   14  0.7  0  0
   15  0.7  1  0
   16  0.7 -1  0
   17  0.7  0  0
   18  0.7  1  0
   19  1.0 -1  0
   20  1.0  0  0
   21  1.0  1  0
   22  1.0 -1  0
   23  1.0  0  0
   24  1.0  1  0
   25  1.3 -1  0
   26  1.3  0  0
   27  1.3  1  0
   28  1.3 -1  0
   29  1.3  0  0
   30  1.3  1  0
   31  0.7 -1  0
   32  0.7  0  0
   33  0.7  1  0
   34  0.7 -1  0
   35  0.7  0  0
   36  0.7  1  0
   37  1.0 -1  0
   38  1.0  0  0
   39  1.0  1  0
   40  1.0 -1  0
   41  1.0  0  0
   42  1.0  1  0
   43  1.3 -1  0
   44  1.3  0  0
   45  1.3  1  0
   46  1.3 -1  0
   47  1.3  0  0
   48  1.3  1  0
   49  0.7 -1  0
   50  0.7  0  0
   51  0.7  1  0
   52  0.7 -1  0
   53  0.7  0  0
   54  0.7  1  0
