"mode","seed","ncat","p11","p12","p13","p14","th10","th11","th12","th13","info","p21","p22","p23","p24","rmse_p","rmse_ii","rmse_iic","rmse_t","rmse_tt","th20","th21","th22","th23"
"P2G",1702,4,1,-0.364350382546793,0.778612692885184,1.30678788397877,-0.683693125634967,0.102794244784593,0.534564442277502,1.00598423467634,0,0.6763,-0.1146,1.1906,0.5355,0.00355015226349904,0.038686810011973,0.014000738723145,0.0910958015535648,0.062084408352015,-0.658234370728143,0.00923257280286588,0.587570430781094,1.15083661042517
"P2G",1702,4,1,-0.364350382546793,0.778612692885184,1.30678788397877,-0.683693125634967,0.102794244784593,0.534564442277502,1.00598423467634,1,0.7063,-0.656,0.5113,1.8472,0.018915965798341,0.00466176957545085,0.0121593087309893,0.172177903923287,0.115552873841637,-0.809550861447347,-0.0920769607306029,0.580200099610753,1.25635067167353
"P2G",1702,4,1,-0.364350382546793,0.778612692885184,1.30678788397877,-0.683693125634967,0.102794244784593,0.534564442277502,1.00598423467634,2,0.6531,-0.4629,0.9924,1.1658,0.0102033876658411,0.0162095869952246,0.00823612453658368,0.117202703394595,0.082150180304897,-0.711729160337911,-0.0288522890152225,0.588556539022075,1.19014155632759
"P2G",1702,4,1,-2.42629795766399,-0.147093097381418,0.106141661955158,-1.34574623796799,-0.526411875301631,-0.0107976106510811,0.598309582749622,0,0.5585,-3.0616,1.5441,-1.6277,0.00262163211835402,0.0152363580553813,0.00702570674319348,0.0966327731346599,0.0238219984498691,-1.15737683853568,-0.553320429471881,0.0204816563304741,0.611196704299838
"P2G",1702,4,1,-2.42629795766399,-0.147093097381418,0.106141661955158,-1.34574623796799,-0.526411875301631,-0.0107976106510811,0.598309582749622,1,0.6354,-2.7473,-0.214,0.1626,0.019440595552932,0.00870280277350994,0.00680995855137292,0.0781221758665115,0.061081007783695,-1.29610975101936,-0.625932243687692,0.0250961884222721,0.702019987609766
"P2G",1702,4,1,-2.42629795766399,-0.147093097381418,0.106141661955158,-1.34574623796799,-0.526411875301631,-0.0107976106510811,0.598309582749622,2,0.5983,-2.8673,0.3461,-0.4447,0.0105315380197418,0.0113401446721804,0.0054413464431579,0.0732017109862166,0.0420738047938379,-1.23034723320411,-0.593495804571982,0.0176692399499323,0.651285204645493
"P2G",1702,4,1,-0.431351794607977,0.341132546850234,0.972431795527971,-0.706287284876938,-0.0231828659051615,0.338454147059757,0.891905750560004,0,0.5901,0.1246,0.453,0.2786,0.0029828805411485,0.0248894084650299,0.0108756615741254,0.0652158791522638,0.0693930249299715,-0.70067748030335,-0.123846228416606,0.404128062541358,0.942252527420713
"P2G",1702,4,1,-0.431351794607977,0.341132546850234,0.972431795527971,-0.706287284876938,-0.0231828659051615,0.338454147059757,0.891905750560004,1,0.657,-0.6526,0.2439,1.3804,0.0180474146543489,0.0038780698236973,0.00886524371209051,0.149712271378062,0.10854555697339,-0.836183798177034,-0.175814210464136,0.448227032938328,1.08538840823557
"P2G",1702,4,1,-0.431351794607977,0.341132546850234,0.972431795527971,-0.706287284876938,-0.0231828659051615,0.338454147059757,0.891905750560004,2,0.601,-0.4036,0.4298,0.8444,0.0108907095581902,0.00898046332790765,0.00594260201724027,0.0969821244171679,0.087597929465735,-0.763538326778462,-0.151105290067174,0.420038735902048,0.99832123950314
"P2G",1702,4,1,-1.7122505122273,-1.2430042943004,0.882543147489093,-1.13895286499141,-0.745569372750259,-0.0765064826510855,0.860940937155248,0,0.7925,-0.8807,-1.8427,0.8883,0.00359695175219097,0.0433040824246451,0.0155854690796092,0.132391578678075,0.0251055219807992,-1.39304187932231,-0.750733887516494,-0.033330221939735,0.800459274528817
"P2G",1702,4,1,-1.7122505122273,-1.2430042943004,0.882543147489093,-1.13895286499141,-0.745569372750259,-0.0765064826510855,0.860940937155248,1,0.9694,-3.6386,-1.3863,0.9592,0.0173062004740599,0.00470722185229401,0.0190762379949544,0.459774737034807,0.178239423813093,-2.00345745212006,-1.05424741403861,-0.0815802810368592,0.914747790729531
"P2G",1702,4,1,-1.7122505122273,-1.2430042943004,0.882543147489093,-1.13895286499141,-0.745569372750259,-0.0765064826510855,0.860940937155248,2,0.7591,-1.6423,-1.5045,0.946,0.00748008762850548,0.0238667921918572,0.00989280367747456,0.163167671322106,0.0333789463494753,-1.45490622871452,-0.770140312515004,-0.0241735953116629,0.80327148568773
"P2G",1702,4,1,-0.286421893923163,-0.223022645258516,0.265293084896657,-0.657617260368999,-0.134569439506634,0.0110519399644391,0.650589080346456,0,0.4197,3.7389,-2.7161,-1.1358,0.00299827298786915,0.010552443553908,0.00700018819516983,0.103159338250106,0.117415787470141,-0.682728835301668,-0.247242549613311,0.180356906520617,0.626559855733491
"P2G",1702,4,1,-0.286421893923163,-0.223022645258516,0.265293084896657,-0.657617260368999,-0.134569439506634,0.0110519399644391,0.650589080346456,1,0.3717,-3.7293,5.3618,-1.9015,0.0635784121150446,0.0670706152272805,0.024558283030571,0.238975499732274,0.231656030674079,-0.648985261030324,-0.108422961120568,0.411439141696733,0.910144655962872
"P2G",1702,4,1,-0.286421893923163,-0.223022645258516,0.265293084896657,-0.657617260368999,-0.134569439506634,0.0110519399644391,0.650589080346456,2,0.438,1.4319,-0.8749,-0.4931,0.00935564763923409,0.00468084036083588,0.00478087477908138,0.118173812439214,0.133062648534132,-0.694428305143804,-0.231676427444796,0.220066863351099,0.687846850858221
"P2G",1702,4,1,-1.26459051692243,0.0925939326561784,0.203771757942225,-0.991740978587724,-0.282313617835556,0.0783096530266783,0.630236098388715,0,0.5223,-1.2867,2.5429,-2.5176,0.00419002309971363,0.0235766219065981,0.0106967581270594,0.0736102591944843,0.0604235821564883,-0.896009672882611,-0.364300488991053,0.143357180266364,0.669686957705657
"P2G",1702,4,1,-1.26459051692243,0.0925939326561784,0.203771757942225,-0.991740978587724,-0.282313617835556,0.0783096530266783,0.630236098388715,1,0.4858,-1.5063,-1.1525,1.081,0.0363278527231031,0.039891197355745,0.0173062630058158,0.109501711159069,0.117264664844651,-1.04764808967781,-0.485070691269682,0.0902500900293015,0.690101689952084
"P2G",1702,4,1,-1.26459051692243,0.0925939326561784,0.203771757942225,-0.991740978587724,-0.282313617835556,0.0783096530266783,0.630236098388715,2,0.5556,-1.3863,0.4364,-0.4344,0.0129515834794868,0.0139547224372548,0.00852224295329946,0.081746397107077,0.0868016258400928,-0.989254459780327,-0.426651491944793,0.120382742324667,0.694424448100495
"P2G",1702,4,1,0.526457900584996,1.02344223142828,1.42730645060284,-0.406489147377366,0.4011080137943,0.62714261646668,1.04630990914809,0,0.5146,1.7583,0.9296,0.2016,0.00304237584104933,0.0202263797027116,0.00993404965086658,0.125800934102333,0.132160460394732,-0.394613487957572,0.178034552896149,0.678498170384089,1.1500562677453
