"mode","seed","ncat","p11","p12","p13","p14","th10","th11","th12","th13","info","p21","p22","p23","p24","rmse_p","rmse_ii","rmse_iic","rmse_t","rmse_tt","th20","th21","th22","th23"
"G2P",1701,4,1,-1.60341369329408,-1.13879933211689,1.53491733548862,-1.52548142088703,-0.760439988097979,0.127036502290296,1.13794230385492,0,1.1488,-1.899,-0.9545,1.4925,0.00206995696468575,0.0303800216102584,0.0119233072651693,0.0994061418535781,0.0143225573382193,-1.33271590575672,-0.782241452309471,0.115199986571774,1.17980366292603
"G2P",1701,4,1,-1.60341369329408,-1.13879933211689,1.53491733548862,-1.52548142088703,-0.760439988097979,0.127036502290296,1.13794230385492,1,1.2867,-1.6665,-0.9418,1.7345,0.00707118723207073,0.0218966662907225,0.011047935217139,0.150808483742755,0.0298521801464307,-1.34476406054636,-0.792112711416227,0.167905764286209,1.37382484404849
"G2P",1701,4,1,-1.60341369329408,-1.13879933211689,1.53491733548862,-1.52548142088703,-0.760439988097979,0.127036502290296,1.13794230385492,2,1.2362,-1.6591,-0.9873,1.5976,0.00558255882471503,0.0236215132397547,0.00980910394701423,0.131267071183282,0.0140899293023976,-1.3072893258857,-0.784605704148999,0.13044186438282,1.28188954163265
"G2P",1701,4,1,-2.83194181435478,0.426470450826252,1.06254067784207,-1.55201433961393,-0.476049514735919,0.404316313902674,1.19366632558712,0,1.2038,-2.6558,0.2544,1.2479,0.00179084379635276,0.0237707369666584,0.0110355944729981,0.0610344799493255,0.0160762734116999,-1.64234236678089,-0.470141511552549,0.431527252857596,1.1164242465211
"G2P",1701,4,1,-2.83194181435478,0.426470450826252,1.06254067784207,-1.55201433961393,-0.476049514735919,0.404316313902674,1.19366632558712,1,1.325,-2.7662,0.4113,1.0449,0.00884249354705432,0.00994869272704302,0.00590480548403875,0.141950203752963,0.0377691754055813,-1.80759701813888,-0.441638491846354,0.459952752826698,1.08879781750393
"G2P",1701,4,1,-2.83194181435478,0.426470450826252,1.06254067784207,-1.55201433961393,-0.476049514735919,0.404316313902674,1.19366632558712,2,1.3186,-2.8161,0.4176,1.0187,0.00967512044345161,0.00989665971628554,0.00564483529298277,0.148611326827695,0.0346672327285101,-1.81742161092697,-0.441437655946548,0.453382293015525,1.07410531561746
"G2P",1701,4,1,0.0487127321259882,0.433460251207046,0.559424674667953,-0.75707968251708,-0.0418298022749878,0.513047553817474,1.12641202892854,0,1.4917,-0.2276,0.3794,0.8974,0.00292820985706716,0.0668856120969212,0.0244837018497984,0.0646018197339824,0.0699000301333656,-0.759390556265078,0.0517412862401853,0.436219863288461,1.08135431398035
"G2P",1701,4,1,0.0487127321259882,0.433460251207046,0.559424674667953,-0.75707968251708,-0.0418298022749878,0.513047553817474,1.12641202892854,1,1.7778,0.0867,0.2932,0.6594,0.0153645977681692,0.015333552699682,0.0180343454743757,0.14104719071658,0.139585174475982,-0.649305625446357,0.143929910974172,0.35830456775975,1.02889315968672
"G2P",1701,4,1,0.0487127321259882,0.433460251207046,0.559424674667953,-0.75707968251708,-0.0418298022749878,0.513047553817474,1.12641202892854,2,1.7031,-0.002,0.3296,0.6999,0.0112617941519981,0.0238491399745718,0.0146813248190232,0.120446852240677,0.121640971371333,-0.683742970450893,0.121220525002585,0.379615291889706,1.03551689279031
"G2P",1701,4,1,-1.23928623843075,-0.0825501691750181,-0.0521993903231151,-1.25254090825471,-0.566660038769334,0.0471770640626354,0.780856618994859,0,1.4087,-1.3149,-0.3035,0.2739,0.00244973177204231,0.0472627106501393,0.0186787404809662,0.0406206187572755,0.045933163433911,-1.25345524152316,-0.511127012210981,-0.00979353774573863,0.764432972675275
"G2P",1701,4,1,-1.23928623843075,-0.0825501691750181,-0.0521993903231151,-1.25254090825471,-0.566660038769334,0.0471770640626354,0.780856618994859,1,1.5776,-0.7025,-0.181,0.1013,0.0187365869312893,0.0173918303591358,0.025406914832212,0.183858473704981,0.153706097876622,-1.00762225813238,-0.31140836536651,-0.0284752775959737,0.714872418905882
"G2P",1701,4,1,-1.23928623843075,-0.0825501691750181,-0.0521993903231151,-1.25254090825471,-0.566660038769334,0.0471770640626354,0.780856618994859,2,1.5144,-1.1476,-0.245,0.1187,0.00815045716283857,0.0323260609902233,0.0150759101111914,0.0786874861668095,0.0793531298318872,-1.21553091476669,-0.463838174786133,-0.0440283191631876,0.713727008116539
"G2P",1701,4,1,0.184562372258762,0.44474461218675,1.20006315865249,-0.68818091203105,0.0771487820850038,0.679808545150177,1.32132097605969,0,1.4036,-0.0943,0.5535,1.3668,0.002416120668232,0.050617159192383,0.0188109139048887,0.0536682385298046,0.0561101471569163,-0.685349744243791,0.15076576558205,0.616361042577514,1.27584507085027
"G2P",1701,4,1,0.184562372258762,0.44474461218675,1.20006315865249,-0.68818091203105,0.0771487820850038,0.679808545150177,1.32132097605969,1,1.6153,0.1587,0.5155,0.9308,0.0152187035230441,0.0121697494240095,0.0183757893863805,0.154292038950745,0.133833353288853,-0.602949846997888,0.242803073459544,0.517658136249011,1.13631908598824
"G2P",1701,4,1,0.184562372258762,0.44474461218675,1.20006315865249,-0.68818091203105,0.0771487820850038,0.679808545150177,1.32132097605969,2,1.5476,0.0969,0.4717,1.1663,0.00968083845900215,0.0229877666327986,0.0128277122159635,0.100352929085017,0.0983359793655573,-0.622937415143634,0.2002573998196,0.562104837677443,1.23755801823034
"G2P",1701,4,1,0.127933243076426,0.593024107472919,0.849890952080784,-0.697075268477055,0.057515215888921,0.635884315154537,1.24855891845867,0,1.4317,-0.122,0.5577,1.1498,0.00278076170729236,0.062300062330372,0.0221747474356696,0.0646241181351238,0.0645145538133969,-0.702012269838073,0.144321695840131,0.565520844520228,1.18379511965636
"G2P",1701,4,1,0.127933243076426,0.593024107472919,0.849890952080784,-0.697075268477055,0.057515215888921,0.635884315154537,1.24855891845867,1,1.701,0.2117,0.511,0.8799,0.0151751818199569,0.0149588196244178,0.0161162889506863,0.145899573564125,0.140779109781501,-0.586925327622407,0.267408471637197,0.511783169132413,1.13212241412315
"G2P",1701,4,1,0.127933243076426,0.593024107472919,0.849890952080784,-0.697075268477055,0.057515215888921,0.635884315154537,1.24855891845867,2,1.6207,0.106,0.4781,0.9458,0.0111311722787269,0.0241004359523102,0.0137468238699201,0.117312280832,0.114762845787361,-0.626492012206744,0.210603306313672,0.509094848361181,1.14582062690843
"G2P",1701,4,1,-1.66946155825483,0.126680641376588,1.40599761611697,-1.28762279358706,-0.407188602408991,0.417342651089589,1.24678362603279,0,1.1573,-1.6807,0.0838,1.4883,0.00117965524987547,0.0160671328502122,0.00758019278387785,0.0348242162266966,0.00441679612824603,-1.25831786424162,-0.399538589959487,0.417302981984453,1.18406519975185
"G2P",1701,4,1,-1.66946155825483,0.126680641376588,1.40599761611697,-1.28762279358706,-0.407188602408991,0.417342651089589,1.24678362603279,1,1.1937,-1.5814,0.1206,1.1761,0.00786538277964209,0.00827541740629922,0.00730853551357714,0.0901140859020753,0.0331126249698295,-1.24612282292664,-0.377184751253195,0.368464161822852,1.08104102876259
"G2P",1701,4,1,-1.66946155825483,0.126680641376588,1.40599761611697,-1.28762279358706,-0.407188602408991,0.417342651089589,1.24678362603279,2,1.1738,-1.5892,0.1327,1.3012,0.00526311711258612,0.00962761100667817,0.00603991708086298,0.0714772507674494,0.0240435999429492,-1.23514308078221,-0.370804077525286,0.39708307449883,1.12049987744113
"G2P",1701,4,1,-0.683015891334755,-0.496421215190855,0.251778708542598,-1.1503024968854,-0.508498071915007,0.0853130230684216,0.825441182009184,0,1.4006,-0.9883,-0.3851,0.4323,0.00272593879858877,0.0584513460738468,0.0209736523192812,0.0539402380871363,0.0527247936590866,-1.09346020073638,-0.449911900551051,0.0152603848305008,0.833653301645174
