"mode", "seed", "ncat", "p11", "p12", "p13", "th10", "th11", "th12", "info", "p21", "p22", "p23", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "dth0", "dth1", "dth2"
"G2P", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.51917728923209, -0.725939139300952, 0.305734081044056, 0, 1.1917, -1.8651, -0.9338, 0.00186095684870041, 0.022068742454403, 0.0114881338394833, 0.101341885318378, 0.0451202589773034, -1.35566619086378, -0.789748821484441, 0.307459864831226, -0.163511098368311, 0.0638096821834889, -0.00172578378716953
"G2P", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.51917728923209, -0.725939139300952, 0.305734081044056, 1, 1.3603, -1.6517, -1.0909, 0.00801804149892619, 0.00510526995287605, 0.00513656120653217, 0.116359759487049, 0.102923034404457, -1.38512381133277, -0.871494290436328, 0.267496090449558, -0.134053477899325, 0.145555151135375, 0.0382379905944982
"G2P", 1701, 3, 1, -1.60341369329408, -1.13879933211689, -1.51917728923209, -0.725939139300952, 0.305734081044056, 2, 1.3452, -1.606, -1.0548, 0.00781698694170288, 0.00638771028967638, 0.00480131280886334, 0.116853672138192, 0.0814068135145498, -1.35520935738844, -0.841065759042806, 0.27701612794379, -0.163967931843656, 0.115126619741854, 0.0287179531002663
"G2P", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.484879703837767, 0.49301807639628, 1.335279564019, 0, 1.1261, 0.3212, 1.6608, 0.00149311330686517, 0.0178923638337374, 0.00884580009313068, 0.0643917941091454, 0.0183717725905674, -0.485385494414907, 0.518999686358695, 1.22681938899869, 0.00050579057714023, -0.0259816099624147, 0.108460175020312
"G2P", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.484879703837767, 0.49301807639628, 1.335279564019, 1, 1.2054, 0.4988, 1.421, 0.00977877750588058, 0.00455484214250537, 0.00446248789559309, 0.0956033207130883, 0.0428340040592142, -0.436767878139417, 0.553594505867565, 1.18887009296405, -0.04811182569835, -0.0605764294712849, 0.146409471054952
"G2P", 1701, 3, 1, 0.426470450826252, 1.53491733548862, -0.484879703837767, 0.49301807639628, 1.335279564019, 2, 1.1906, 0.4533, 1.4072, 0.00871874931499759, 0.00555082268036589, 0.00427953004577584, 0.0977841028343728, 0.0266092655447862, -0.450114839555937, 0.530649260614504, 1.17384694498812, -0.0347648642818302, -0.0376311842182238, 0.161432619030881
"G2P", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.48753514826041, -0.22926482513179, 0.927671039609437, 0, 1.006, -2.8371, 1.0635, 0.0000921173453177371, 0.000895477205281943, 0.000381114630101959, 0.0214549521420639, 0.000293241945592893, -1.45038213937567, -0.229679531868305, 0.927017691778905, -0.0371530088847429, 0.000414706736514142, 0.000653347830531947
"G2P", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.48753514826041, -0.22926482513179, 0.927671039609437, 1, 1.0012, -2.8068, 1.0511, 0.000538076368270574, 0.000330385980682191, 0.00028151864944116, 0.0292266084651706, 0.00075344049321488, -1.43755530297329, -0.230330350895736, 0.919704632197617, -0.0499798452871196, 0.00106552576394556, 0.00796640741181975
"G2P", 1701, 3, 1, -2.83194181435478, 1.06254067784207, -1.48753514826041, -0.22926482513179, 0.927671039609437, 2, 1.0017, -2.8105, 1.0566, 0.000387950975015259, 0.000377859798951293, 0.000234016190546262, 0.0282125061348274, 0.0000729486104871125, -1.43901032885925, -0.229367990046098, 0.921911893291778, -0.0485248194011607, 0.000103164914307147, 0.00575914631765939
"G2P", 1701, 3, 1, 0.0487127321259882, 0.559424674667953, -0.685848504056145, 0.165746392912576, 0.964542463165855, 0, 1.2472, -0.1463, 0.755, 0.00196858307177571, 0.0226228866770348, 0.0136219697342299, 0.0233577979805593, 0.011268840632937, -0.676441875794907, 0.181682940167897, 0.928566054425742, -0.00940662826123784, -0.0159365472553205, 0.0359764087401131
