"mode", "seed", "ncat", "p11", "p12", "p13", "p14", "th10", "th11", "th12", "th13", "a_iinfo1", "method", "p21", "p22", "p23", "p24", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "th23", "a_iinfo2", "difai", "dth0", "dth1", "dth2", "dth3"
"P2G", 1703, 4, 1, 0.309021619842738, 0.503422925584597, 0.831403065109026, -0.469005393795788, 0.213899493650417, 0.348624721444253, 0.843311023892396, 0.552825830093317, 0, 0.4141, 3.1191, -0.4209, -1.015, 0.0135326207388101, 0.047812180950889, 0.0370142619986379, 0.115917160549062, 0.1337410781317, -0.46611320382267, -0.00401342068493601, 0.427199461057956, 0.852185692150951, 0.548396207599029, 0.00442962249428813, -0.00289218997311752, 0.217912914335353, -0.0785747396137026, -0.0088746682585541
"P2G", 1703, 4, 1, 0.309021619842738, 0.503422925584597, 0.831403065109026, -0.469005393795788, 0.213899493650417, 0.348624721444253, 0.843311023892396, 0.552825830093317, 1, 0.4808, 1.504, -0.4201, 1.2098, 0.12370365553155, 0.0131950677985706, 0.05869973622376, 0.156199472919757, 0.149263458310342, -0.517387844860253, 0.0180563904192334, 0.517397405481301, 1.01187406797486, 0.555481537973615, -0.00265570788029801, 0.0483824510644648, 0.195843103231184, -0.168772684037047, -0.168563044082459
"P2G", 1703, 4, 1, 0.309021619842738, 0.503422925584597, 0.831403065109026, -0.469005393795788, 0.213899493650417, 0.348624721444253, 0.843311023892396, 0.552825830093317, 2, 0.4381, 1.5336, 0.4437, -0.2607, 0.0665112728126809, 0.0235535945385545, 0.0194097270749339, 0.127396990011068, 0.141887380022696, -0.50294346970322, -0.0103941711425743, 0.449065936903066, 0.901380752926613, 0.543593557669652, 0.00923227242366531, 0.0339380759074323, 0.224293664792992, -0.100441215458813, -0.0580697290342167
"P2G", 1703, 4, 1, -0.938308011488934, -0.935098742499761, 0.789724553481276, -0.88015682663863, -0.488177596626648, -0.0332773696254894, 0.828944639167528, 0.676435374201156, 0, 0.6262, 3.1128, -4.7318, 0.7982, 0.0410129692076735, 0.349034312439375, 0.130744672650737, 0.109004017117874, 0.0595518504844663, -1.04036938327729, -0.499272799461077, 0.0692709856145414, 0.723019330585181, 0.755033674408558, -0.0785983002074011, 0.160212556638664, 0.0110952028344283, -0.102548355240031, 0.105925308582347
"P2G", 1703, 4, 1, -0.938308011488934, -0.935098742499761, 0.789724553481276, -0.88015682663863, -0.488177596626648, -0.0332773696254894, 0.828944639167528, 0.676435374201156, 1, 0.7097, -1.6437, -0.0878, 1.411, 0.245352140404723, 0.0511833623193231, 0.144372617955302, 0.23692052185418, 0.205650307272202, -1.11503689217348, -0.394670050362996, 0.310426697029538, 1.03505272458273, 0.683589029858776, -0.00715365565761994, 0.234880065534846, -0.0935075462636519, -0.343704066655028, -0.206108085415203
"P2G", 1703, 4, 1, -0.938308011488934, -0.935098742499761, 0.789724553481276, -0.88015682663863, -0.488177596626648, -0.0332773696254894, 0.828944639167528, 0.676435374201156, 2, 0.5793, -0.2234, -1.3779, 0.8959, 0.094138680498939, 0.183627017733533, 0.0921308490072032, 0.112072884068805, 0.101173050942305, -1.00238809885945, -0.439724642583308, 0.135127707362696, 0.761173828678373, 0.648849349666169, 0.0275860245349873, 0.122231272220816, -0.0484529540433402, -0.168405076988185, 0.0677708104891553
"P2G", 1703, 4, 1, 0.7087313434403, 1.38140612338207, 2.54818237656952, -0.357374220019211, 0.531483622366056, 0.920362098961221, 1.37634985002813, 0.503354931562209, 0, 0.6729, 1.3485, 0.9184, 2.3673, 0.0160948179542797, 0.157733553089971, 0.0622799807783103, 0.137459150754402, 0.0966604181984446, -0.351957534256905, 0.396468155079392, 1.01935974000513, 1.59434302120774, 0.551397913803235, -0.048042982241026, -0.00541668576230603, 0.135015467286664, -0.0989976410439078, -0.217993171179611
"P2G", 1703, 4, 1, 0.7087313434403, 1.38140612338207, 2.54818237656952, -0.357374220019211, 0.531483622366056, 0.920362098961221, 1.37634985002813, 0.503354931562209, 1, 0.7144, 0.6986, 1.4218, 3.4465, 0.08297925781886, 0.0298747528050417, 0.0489089822948769, 0.236806606831767, 0.133187862634497, -0.413544727167902, 0.397297959921022, 1.10800865036471, 1.7861514239928, 0.50925710613631, -0.00590217457410125, 0.0561705071486915, 0.134185662445034, -0.187646551403494, -0.409801573964671
"P2G", 1703, 4, 1, 0.7087313434403, 1.38140612338207, 2.54818237656952, -0.357374220019211, 0.531483622366056, 0.920362098961221, 1.37634985002813, 0.503354931562209, 2, 0.6822, 0.7281, 1.5637, 2.6338, 0.0782281395366889, 0.0565401608496657, 0.025538210597171, 0.186854362447201, 0.118008189609397, -0.402039093346703, 0.38276951811505, 1.06058304476278, 1.68600362718607, 0.500186916410213, 0.00316801515199638, 0.0446648733274927, 0.148714104251006, -0.140220945801556, -0.309653777157936
"P2G", 1703, 4, 1, 1.37793390645166, 1.45539821703294, 1.82309850258371, -0.206578839019026, 0.723763720837749, 0.822897174330988, 1.17370712812381, 0.312337169475062, 0, 0.3976, 6.1511, -1.5276, 0.1213, 0.00683612763723922, 0.0239162605375819, 0.0219002261276054, 0.206011657757256, 0.236668998410474, -0.203943444056648, 0.315683980325291, 0.784069738037361, 1.21517546297237, 0.308730688655874, 0.00360648081918796, -0.002635394962378, 0.408079740512458, 0.0388274362936272, -0.0414683348485587
"P2G", 1703, 4, 1, 1.37793390645166, 1.45539821703294, 1.82309850258371, -0.206578839019026, 0.723763720837749, 0.822897174330988, 1.17370712812381, 0.312337169475062, 1, 0.6043, -9.3107, 2.1294, 0.9169, 0.588570252867432, 0.01407887021698, 0.108747691249212, 0.67131008083888, 0.57312913309259, -1.1096443261994, -0.228230450219686, 0.541582212284784, 1.21458028323688, 0.31348225432922, -0.00114508485415826, 0.903065487180373, 0.951994171057435, 0.281314962046205, -0.0408731551130652
"P2G", 1703, 4, 1, 1.37793390645166, 1.45539821703294, 1.82309850258371, -0.206578839019026, 0.723763720837749, 0.822897174330988, 1.17370712812381, 0.312337169475062, 2, 0.4136, 3.7848, 0.3354, 0.748, 0.0354375467129721, 0.0135302805527112, 0.0106395210808852, 0.207202540639968, 0.234291799074404, -0.222789765415093, 0.318290565296614, 0.806481892546121, 1.25611365647837, 0.308543927179158, 0.003793242295904, 0.0162109263960667, 0.405473155541136, 0.0164152817848672, -0.0824065283545534
"P2G", 1703, 4, 1, -0.28393004614517, 0.849517604995017, 0.969183194822615, -0.65678741323157, 0.140419132461432, 0.474016705622896, 0.890787673668447, 0.676461556272061, 0, 0.5953, 0.0012, 2.5104, -1.1744, 0.0365459252270313, 0.300493112391663, 0.118945402258052, 0.107468359687672, 0.0875380499003376, -0.608169166974411, -0.00240402422484547, 0.524911464245264, 1.03516678893673, 0.764884645614471, -0.0884230893424101, -0.0486182462571594, 0.142823156686277, -0.0508947586223675, -0.144379115268281
"P2G", 1703, 4, 1, -0.28393004614517, 0.849517604995017, 0.969183194822615, -0.65678741323157, 0.140419132461432, 0.474016705622896, 0.890787673668447, 0.676461556272061, 1, 0.624, -0.4764, 0.285, 1.4948, 0.178387576076304, 0.0315642811779361, 0.10912122246533, 0.180774081772047, 0.156821767020449, -0.776791983092607, -0.131163921452436, 0.478690532862432, 1.09703213526761, 0.679491586057735, -0.00303002978567357, 0.120004569861037, 0.271583053913868, -0.00467382723953552, -0.206244461599159
"P2G", 1703, 4, 1, -0.28393004614517, 0.849517604995017, 0.969183194822615, -0.65678741323157, 0.140419132461432, 0.474016705622896, 0.890787673668447, 0.676461556272061, 2, 0.5565, -0.3195, 1.2718, 0.2502, 0.0855792355178299, 0.12511649775621, 0.074811433800161, 0.121590497926254, 0.121192415263703, -0.666924731115266, -0.0694712120327903, 0.476991237593829, 1.01314545632894, 0.648743143297397, 0.0277184129746644, 0.010137317883696, 0.209890344494222, -0.002974531970933, -0.122357782660495
"P2G", 1703, 4, 1, -1.26580376302707, -0.293484101647757, 0.27474308485681, -0.992151296849716, -0.390462994088768, -0.00488006388796858, 0.653730159729231, 0.714442017514171, 0, 0.5915, -0.9629, 0.1574, -0.5545, 0.0193185589531011, 0.152137493312374, 0.0696059585962351, 0.0551116788045456, 0.0628053471682252, -1.00551417101726, -0.454930886028553, 0.0827408571731802, 0.665438586516812, 0.758695378244155, -0.0442533607299838, 0.0133628741675427, 0.0644678919397851, -0.0876209210611488, -0.0117084267875808
