"mode", "seed", "ncat", "p11", "p12", "p13", "p14", "th10", "th11", "th12", "th13", "a_iinfo1", "method", "p21", "p22", "p23", "p24", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "th23", "a_iinfo2", "difai", "dth0", "dth1", "dth2", "dth3"
"P2Gn", 1703, 4, 1, 0.309021619842738, 0.503422925584597, 0.831403065109026, -0.469500880041615, 0.202791437283322, 0.332213536008959, 0.852487801196481, 0.554140872223283, 0, 0.4028, 3.2294, -0.4551, -1.0927, 0.0134456869300416, 0.0962488783265266, 0.0310393489190679, 0.113970130925077, 0.13131580496863, -0.46231664166655, -0.00744788382322249, 0.418994580968887, 0.839311011465695, 0.528735651691018, 0.0254052205322648, -0.00718423837506454, 0.210239321106544, -0.0867810449599276, 0.013176789730786
"P2Gn", 1703, 4, 1, 0.309021619842738, 0.503422925584597, 0.831403065109026, -0.469500880041615, 0.202791437283322, 0.332213536008959, 0.852487801196481, 0.554140872223283, 1, 0.5426, 0.1847, 0.3142, 1.8361, 0.20780455731149, 0.0197855822126062, 0.109738619063294, 0.219157765158408, 0.179501806251815, -0.613624710009381, -0.00925019751149952, 0.559592163976787, 1.12577543430369, 0.55838785449817, -0.00424698227488696, 0.144123829967766, 0.212041634794821, -0.227378627967828, -0.27328763310721
"P2Gn", 1703, 4, 1, 0.309021619842738, 0.503422925584597, 0.831403065109026, -0.469500880041615, 0.202791437283322, 0.332213536008959, 0.852487801196481, 0.554140872223283, 2, 0.3988, 2.2398, 0.2959, -0.9837, 0.0379441822394833, 0.079270577182463, 0.0245592608080796, 0.121498699680622, 0.139361162661514, -0.484633247491171, -0.0279114996826447, 0.403211816624651, 0.828947483089189, 0.507730473102787, 0.0464103991204959, 0.0151323674495559, 0.230702936965966, -0.0709982806156917, 0.0235403181072921
"P2Gn", 1703, 4, 1, -0.938308011488934, -0.935098742499761, 0.789724553481276, -0.89261448275085, -0.468350909251363, -0.0320579893387292, 0.837009651781346, 0.690769701958227, 0, 0.5989, 3.6414, -5.2544, 0.8079, 0.0407088649032955, 0.312564022221928, 0.11938117103862, 0.105270797538655, 0.0612335284857041, -1.021914939334, -0.487862238366299, 0.0721914378472139, 0.709101402818824, 0.713318492512883, -0.0225487905546555, 0.129300456583149, 0.019511329114936, -0.104249427185943, 0.127908248962522
"P2Gn", 1703, 4, 1, -0.938308011488934, -0.935098742499761, 0.789724553481276, -0.89261448275085, -0.468350909251363, -0.0320579893387292, 0.837009651781346, 0.690769701958227, 1, 0.6998, -1.5314, -0.0785, 1.3537, 0.236911797407182, 0.0134326314725899, 0.145393736493993, 0.221368211167613, 0.203953697379267, -1.08598621826297, -0.37988303099636, 0.309943131333526, 1.02094327987367, 0.6930969216579, -0.00232721969967298, 0.193371735512121, -0.088467878255003, -0.342001120672256, -0.183933628092324
"P2Gn", 1703, 4, 1, -0.938308011488934, -0.935098742499761, 0.789724553481276, -0.89261448275085, -0.468350909251363, -0.0320579893387292, 0.837009651781346, 0.690769701958227, 2, 0.5321, 0.1237, -1.1896, 0.6085, 0.105903008467552, 0.158988839948033, 0.0867631649101356, 0.122374904187306, 0.128462110390596, -0.897142099134266, -0.366189304290738, 0.165604723103162, 0.735154715861296, 0.637891916371944, 0.0528777855862835, 0.00452761638341626, -0.102161604960626, -0.197662712441891, 0.10185493592005
"P2Gn", 1703, 4, 1, 0.7087313434403, 1.38140612338207, 2.54818237656952, -0.359487367407596, 0.512775483599404, 0.929013104037802, 1.55323553128522, 0.531736985469191, 0, 0.6548, 1.3742, 0.8719, 2.3985, 0.0162640900318434, 0.166010768165628, 0.0546253367671744, 0.0750872030084995, 0.0859228490875761, -0.352949164476469, 0.381953316012611, 0.999962159379448, 1.57224595313774, 0.537341939761369, -0.00560495429217711, -0.00653820293112739, 0.130822167586793, -0.0709490553416466, -0.0190104218525202
"P2Gn", 1703, 4, 1, 0.7087313434403, 1.38140612338207, 2.54818237656952, -0.359487367407596, 0.512775483599404, 0.929013104037802, 1.55323553128522, 0.531736985469191, 1, 0.8558, 0.4449, 2.0191, 3.9561, 0.132374155153656, 0.0114512619472133, 0.107495007963201, 0.356597916444457, 0.236008925515815, -0.442965922230803, 0.503746036687974, 1.33769281708686, 2.13166356325234, 0.533574795824463, -0.00183781035527197, 0.0834785548232071, 0.00902944691143026, -0.40867971304906, -0.578428031967116
"P2Gn", 1703, 4, 1, 0.7087313434403, 1.38140612338207, 2.54818237656952, -0.359487367407596, 0.512775483599404, 0.929013104037802, 1.55323553128522, 0.531736985469191, 2, 0.6374, 0.7618, 1.306, 2.463, 0.0741456851676234, 0.0684128341025817, 0.0298946237468697, 0.102886831643364, 0.114205449069301, -0.41593948648087, 0.317234893486324, 0.958888368213884, 1.55846094640887, 0.506980116728311, 0.0247568687408805, 0.0564521190732739, 0.19554059011308, -0.0298752641760819, -0.00522541512364549
"P2Gn", 1703, 4, 1, 1.37793390645166, 1.45539821703294, 1.82309850258371, -0.210041822037651, 0.708152834264076, 0.81501742153616, 1.24473037647476, 0.342206501718154, 0, 0.4053, 6.0752, -1.5582, 0.1838, 0.00848671269940661, 0.0807120969826352, 0.0263417080847786, 0.19507259284685, 0.224953622375617, -0.206804866978182, 0.319240833890793, 0.791356216465685, 1.22497205209796, 0.318351533788468, 0.0238549679296856, -0.00323695505946875, 0.388912000373283, 0.0236612050704744, 0.0197583243768025
