"mode", "seed", "ncat", "p11", "p12", "p13", "p14", "th10", "th11", "th12", "th13", "info", "p21", "p22", "p23", "p24", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "th23", "dth0", "dth1", "dth2", "dth3"
"P2Gn", 1701, 4, 1, -1.60341369329408, -1.13879933211689, 1.53491733548862, -1.15437592831473, -0.679416694091165, 0.0729132056926085, 1.12655977090317, 0, 0.7546, -0.7067, -1.8695, 1.6852, 0.00353755139603349, 0.0403222419734445, 0.0141987247450886, 0.113598990792501, 0.0280660320004179, -1.30414416981498, -0.64340250639613, 0.10556415883968, 0.96277549138442, 0.149768241500256, -0.0360141876950347, -0.0326509531470713, 0.163784279518747
"P2Gn", 1701, 4, 1, -1.60341369329408, -1.13879933211689, 1.53491733548862, -1.15437592831473, -0.679416694091165, 0.0729132056926085, 1.12655977090317, 1, 0.9025, -3.0649, -0.9441, 1.4235, 0.0205320462126248, 0.00492407697288767, 0.019044883845784, 0.298908103167775, 0.0850776753591107, -1.72852496852211, -0.824247735518877, 0.100090438305495, 1.04895523718994, 0.574149040207377, 0.144831041427712, -0.0271772326128863, 0.0776045337132274
"P2Gn", 1701, 4, 1, -1.60341369329408, -1.13879933211689, 1.53491733548862, -1.15437592831473, -0.679416694091165, 0.0729132056926085, 1.12655977090317, 2, 0.6792, -1.298, -1.138, 1.3905, 0.0130149157104164, 0.0203430333541071, 0.00877925884739515, 0.140919872376709, 0.0785128889626595, -1.21630876914457, -0.558140026861647, 0.13443386226818, 0.887592945277457, 0.061932840829845, -0.121276667229518, -0.0615206565755714, 0.23896682562571
"P2Gn", 1701, 4, 1, -2.83194181435478, 0.426470450826252, 1.06254067784207, -1.67728462372465, -0.388597147874677, 0.366025062399014, 0.939982050519723, 0, 0.6677, -3.5762, 1.1208, 0.338, 0.00263339004122991, 0.0238344827606889, 0.00852660607755296, 0.234214557463346, 0.0324289615454428, -1.21328129052774, -0.400082548705233, 0.31104326351512, 0.97115623619325, -0.464003333196916, 0.0114854008305554, 0.0549817988838934, -0.0311741856735271
"P2Gn", 1701, 4, 1, -2.83194181435478, 0.426470450826252, 1.06254067784207, -1.67728462372465, -0.388597147874677, 0.366025062399014, 0.939982050519723, 1, 0.7545, -2.596, 0.1576, 1.5055, 0.0199611146311314, 0.00341958826720844, 0.00869828348122719, 0.217477835230261, 0.0343498764507439, -1.28283614313032, -0.444373061312096, 0.34531782895836, 1.11335185580899, -0.394448480594335, 0.0557759134374186, 0.0207072334406533, -0.173369805289268
"P2Gn", 1701, 4, 1, -2.83194181435478, 0.426470450826252, 1.06254067784207, -1.67728462372465, -0.388597147874677, 0.366025062399014, 0.939982050519723, 2, 0.6696, -2.8707, 0.5118, 0.8073, 0.0107379878187819, 0.0109872777976838, 0.00487707687365342, 0.24402327291816, 0.0556059486494646, -1.19934957822382, -0.429234483101409, 0.278705697070978, 0.962150916283723, -0.47793504550083, 0.0406373352267317, 0.0873193653280353, -0.0221688657639998
"P2Gn", 1701, 4, 1, 0.0487127321259882, 0.433460251207046, 0.559424674667953, -0.548614009622286, 0.119801562375892, 0.248057061230218, 0.753261478452208, 0, 0.4029, 1.9525, 1.7243, -2.7244, 0.00254201430740283, 0.0151969436472318, 0.00538980176342161, 0.110983745852936, 0.127321057714126, -0.525575924606872, -0.0793487853657557, 0.342772921605936, 0.763598731505495, -0.0230380850154147, 0.199150347741647, -0.0947158603757176, -0.0103372530532868
"P2Gn", 1701, 4, 1, 0.0487127321259882, 0.433460251207046, 0.559424674667953, -0.548614009622286, 0.119801562375892, 0.248057061230218, 0.753261478452208, 1, 0.411, 1.401, -1.6282, 1.2337, 0.0280395590616942, 0.0212023358298411, 0.0135469817333687, 0.159647323162686, 0.173421409539449, -0.654450662992289, -0.176957003400128, 0.294525432177651, 0.77612450790007, 0.105836653370003, 0.296758565776019, -0.0464683709474325, -0.0228630294478617
"P2Gn", 1701, 4, 1, 0.0487127321259882, 0.433460251207046, 0.559424674667953, -0.548614009622286, 0.119801562375892, 0.248057061230218, 0.753261478452208, 2, 0.3923, 1.6304, 1.2677, -2.1523, 0.00487060384462577, 0.0119765124247581, 0.00414267178696108, 0.11993049609438, 0.138037034465367, -0.552087884736261, -0.110724436557896, 0.311463941515861, 0.734325821255001, 0.0034738751139749, 0.230525998933788, -0.0634068802856431, 0.0189356571972078
"P2Gn", 1701, 4, 1, -1.23928623843075, -0.0825501691750181, -0.0521993903231151, -1.00865140960935, -0.312484598972294, -0.0336860882224334, 0.547518121231755, 0, 0.4619, -1.1341, 4.38, -4.9489, 0.00399622161952104, 0.0189111246387889, 0.00856526714726975, 0.0937024419049182, 0.0796778593708034, -0.883445461572586, -0.401374044277396, 0.0718807168589548, 0.567477510757796, -0.125205948036767, 0.0888894453051022, -0.105566805081388, -0.019959389526041
"P2Gn", 1701, 4, 1, -1.23928623843075, -0.0825501691750181, -0.0521993903231151, -1.00865140960935, -0.312484598972294, -0.0336860882224334, 0.547518121231755, 1, 0.4464, -1.1646, -16.1466, 15.5303, 0.0860823329714553, 0.0927709182220705, 0.0299872727143192, 0.34895126742816, 0.257528033060512, -1.50271968692231, -0.757261932393393, 0.00000644968827281941, 0.757285664183075, 0.494068277312959, 0.4447773334211, -0.0336925379107063, -0.20976754295132
"P2Gn", 1701, 4, 1, -1.23928623843075, -0.0825501691750181, -0.0521993903231151, -1.00865140960935, -0.312484598972294, -0.0336860882224334, 0.547518121231755, 2, 0.426, -1.1941, 0.3174, -1.0838, 0.014414307027105, 0.0251323067100738, 0.0110116626690493, 0.0871947948261466, 0.0842727839483643, -0.913231174049299, -0.434125936390133, 0.0469928518699001, 0.548518761794611, -0.0954202355600535, 0.12164133741784, -0.0806789400923335, -0.00100064056285565
"P2Gn", 1701, 4, 1, 0.184562372258762, 0.44474461218675, 1.20006315865249, -0.506632016365484, 0.156883447602274, 0.401534623172362, 0.993288070281646, 0, 0.4721, 2.244, -0.8727, 0.5931, 0.00259470383638887, 0.0167195944308143, 0.00605829402732461, 0.0880634938856114, 0.0985774755962469, -0.507101900454015, 0.00486774460720355, 0.479276388830858, 0.950068411033547, 0.000469884088531547, 0.15201570299507, -0.0777417656584963, 0.0432196592480995
"P2Gn", 1701, 4, 1, 0.184562372258762, 0.44474461218675, 1.20006315865249, -0.506632016365484, 0.156883447602274, 0.401534623172362, 0.993288070281646, 1, 0.6254, -0.1798, 0.6279, 2.0015, 0.0262996885983959, 0.00258558276465518, 0.014329368312973, 0.206882803301767, 0.159947472782459, -0.662862834925339, 0.0106605840518439, 0.636839651430576, 1.2579469571372, 0.156230818559856, 0.14622286355043, -0.235305028258214, -0.264658886855555
"P2Gn", 1701, 4, 1, 0.184562372258762, 0.44474461218675, 1.20006315865249, -0.506632016365484, 0.156883447602274, 0.401534623172362, 0.993288070281646, 2, 0.4798, 1.1553, 0.0832, 0.65, 0.00796040115965963, 0.0128750709562739, 0.00481797193531815, 0.0941053192251464, 0.106417612590903, -0.537109340393693, -0.00800785814154264, 0.4839056259509, 0.97047902958933, 0.030477324028209, 0.164891305743816, -0.0823710027785383, 0.0228090406923156
"P2Gn", 1701, 4, 1, 0.127933243076426, 0.593024107472919, 0.849890952080784, -0.523951825128971, 0.17862082582226, 0.359738014580176, 0.859383846503715, 0, 0.4451, 1.6061, 1.0769, -1.1867, 0.00285890103135935, 0.0192147592928708, 0.00673405783973889, 0.105057061437213, 0.120138427677551, -0.502689777421377, -0.0151663386308825, 0.435542106209276, 0.879287226720835, -0.0212620477075939, 0.193787164453142, -0.0758040916291, -0.0199033802171198
"P2Gn", 1701, 4, 1, 0.127933243076426, 0.593024107472919, 0.849890952080784, -0.523951825128971, 0.17862082582226, 0.359738014580176, 0.859383846503715, 1, 0.571, -0.1767, 0.3637, 1.62, 0.0277812114199237, 0.00264776724433232, 0.0148082805654985, 0.206372311576107, 0.168240839983829, -0.685378160427074, -0.0659800031460911, 0.518121647520542, 1.10307365240026, 0.161426335298102, 0.244600828968351, -0.158383632940366, -0.243689805896544
"P2Gn", 1701, 4, 1, 0.127933243076426, 0.593024107472919, 0.849890952080784, -0.523951825128971, 0.17862082582226, 0.359738014580176, 0.859383846503715, 2, 0.4317, 1.1144, 0.928, -0.7658, 0.00684781514275168, 0.0129591385902697, 0.00459465725147759, 0.119686719802096, 0.137726927743928, -0.540539524846171, -0.0568547584712566, 0.397913518230687, 0.848503960075502, 0.0165876997171996, 0.235475584293517, -0.0381755036505119, 0.0108798864282129
